,App_comb,conf,house_type,LCOE,discount_rate
0,2.0,2.0,SFH100,0.5418409537934296,0.04
1,2.0,4.0,SFH45,0.6221333335030861,0.04
2,2.0,4.0,SFH45,0.6181903807396908,0.04
3,2.0,2.0,SFH100,0.5597915719468256,0.04
4,2.0,2.0,SFH15,0.6140192974822123,0.04
5,2.0,2.0,SFH45,0.5928236986371365,0.04
6,2.0,2.0,SFH45,0.5424137835262827,0.04
7,2.0,4.0,SFH45,0.6600795745518288,0.04
8,2.0,4.0,SFH15,0.5006456413681366,0.04
9,2.0,4.0,SFH15,0.8539065217940882,0.04
10,2.0,4.0,SFH15,0.6676014973095055,0.04
11,2.0,6.0,SFH100,0.5835202944883994,0.04
12,2.0,6.0,SFH100,0.6136194075884763,0.04
13,2.0,6.0,SFH100,0.5233763317508043,0.04
14,2.0,6.0,SFH100,0.5299166132486262,0.04
15,2.0,4.0,SFH45,0.5725136302227849,0.04
16,2.0,4.0,SFH45,0.5306409164323496,0.04
17,2.0,2.0,SFH100,0.5266657449418112,0.04
18,2.0,4.0,SFH45,0.7344728846483207,0.04
19,2.0,4.0,SFH15,0.7813429613557388,0.04
20,2.0,2.0,SFH45,0.45874600406814803,0.04
21,2.0,2.0,SFH100,0.5343195936827135,0.04
22,2.0,4.0,SFH15,0.7034286908249514,0.04
23,2.0,4.0,SFH15,1.062916655609091,0.04
24,2.0,2.0,SFH45,0.5308823402951311,0.04
25,2.0,2.0,SFH15,0.7219911482839454,0.04
26,2.0,6.0,SFH100,0.6296086554984707,0.04
27,2.0,6.0,SFH100,0.6433818951215579,0.04
28,2.0,6.0,SFH100,0.6274678876880894,0.04
29,2.0,6.0,SFH100,0.6529841762673629,0.04
30,2.0,4.0,SFH45,0.5215464014258099,0.04
31,2.0,4.0,SFH45,0.8799899627654372,0.04
32,2.0,4.0,SFH15,0.5320037769156312,0.04
33,2.0,4.0,SFH15,0.6492579183120218,0.04
34,2.0,4.0,SFH45,0.5999595868247217,0.04
35,2.0,4.0,SFH15,1.1545401444926282,0.04
36,2.0,2.0,SFH100,0.5497312291601892,0.04
37,2.0,2.0,SFH45,0.43850870846966267,0.04
38,2.0,2.0,SFH15,0.5255126395811638,0.04
39,2.0,2.0,SFH100,0.5423917064922978,0.04
40,2.0,2.0,SFH45,0.42309387809818705,0.04
41,2.0,6.0,SFH100,0.5862506017434478,0.04
42,2.0,6.0,SFH100,0.5301368243594395,0.04
43,2.0,6.0,SFH100,0.5821240461384971,0.04
44,2.0,6.0,SFH100,0.5238959068616997,0.04
45,2.0,4.0,SFH45,0.6662343783808717,0.04
46,2.0,4.0,SFH45,0.5615238595962553,0.04
47,2.0,4.0,SFH15,0.6274092726432156,0.04
48,2.0,4.0,SFH15,1.0316439614475892,0.04
49,2.0,4.0,SFH15,1.1811109723614033,0.04
50,2.0,4.0,SFH45,0.6627677245086363,0.04
51,2.0,2.0,SFH100,0.46763338894198275,0.04
52,2.0,2.0,SFH45,0.5206897010800511,0.04
53,2.0,2.0,SFH15,0.5304072211686569,0.04
54,2.0,2.0,SFH100,0.6089796707906074,0.04
55,2.0,2.0,SFH45,0.4933349215431081,0.04
56,2.0,6.0,SFH100,0.6046949680951571,0.04
57,2.0,6.0,SFH100,0.4984910035368838,0.04
58,2.0,6.0,SFH100,0.6831386388126617,0.04
59,2.0,6.0,SFH100,0.5321090864030471,0.04
60,2.0,4.0,SFH45,0.4990733588735277,0.04
61,2.0,4.0,SFH45,0.7172893125183392,0.04
62,2.0,4.0,SFH15,0.735250573533713,0.04
63,2.0,4.0,SFH15,0.8312874491251467,0.04
64,2.0,4.0,SFH15,0.850882815646864,0.04
65,2.0,4.0,SFH45,0.6989679877856648,0.04
66,2.0,2.0,SFH100,0.539602621470056,0.04
67,2.0,2.0,SFH15,0.5518786332863279,0.04
68,2.0,2.0,SFH100,0.5008961964075925,0.04
69,2.0,2.0,SFH45,0.44069927442686274,0.04
70,2.0,2.0,SFH45,0.5725321318841667,0.04
71,2.0,6.0,SFH100,0.6301533480718411,0.04
72,2.0,6.0,SFH100,0.5545989422235748,0.04
73,2.0,6.0,SFH100,0.626672268284764,0.04
74,2.0,6.0,SFH100,0.5917509487784282,0.04
75,2.0,4.0,SFH45,0.47145989150532375,0.04
76,2.0,4.0,SFH45,0.5914316974660687,0.04
77,2.0,4.0,SFH15,0.8275590173082634,0.04
78,2.0,4.0,SFH15,0.9230283223878976,0.04
79,2.0,4.0,SFH15,1.1725164828981187,0.04
80,2.0,4.0,SFH45,0.6493930177440403,0.04
81,2.0,2.0,SFH100,0.5927968192130082,0.04
82,2.0,2.0,SFH15,0.5064654827634036,0.04
83,2.0,2.0,SFH45,0.6617056748512605,0.04
84,2.0,2.0,SFH100,0.5612173971187613,0.04
85,2.0,2.0,SFH45,0.480794771752053,0.04
86,2.0,6.0,SFH100,0.6054838443733073,0.04
87,2.0,6.0,SFH100,0.5948912998824702,0.04
88,2.0,6.0,SFH100,0.5986465373477585,0.04
89,2.0,6.0,SFH100,0.5659517700841064,0.04
90,2.0,4.0,SFH45,0.5957625358041639,0.04
91,2.0,4.0,SFH45,0.5437096286830917,0.04
92,2.0,4.0,SFH15,0.5899002583758589,0.04
93,2.0,4.0,SFH15,0.8563691844265569,0.04
94,2.0,4.0,SFH15,0.8035360819282179,0.04
95,2.0,4.0,SFH45,0.871297266366787,0.04
96,2.0,2.0,SFH100,0.5928818031383802,0.04
97,2.0,2.0,SFH15,0.7658561134239483,0.04
98,2.0,2.0,SFH100,0.6096891350501609,0.04
99,2.0,2.0,SFH45,0.46121487931714694,0.04
100,2.0,2.0,SFH45,0.5188598498146801,0.04
101,2.0,6.0,SFH100,0.5602103822166038,0.04
102,2.0,6.0,SFH100,0.5801417230046335,0.04
103,2.0,6.0,SFH100,0.5537522044933502,0.04
104,2.0,6.0,SFH100,0.5629481801623781,0.04
105,2.0,4.0,SFH45,0.5068717094563908,0.04
106,2.0,4.0,SFH45,0.6297113411959279,0.04
107,2.0,4.0,SFH15,0.5628615741368248,0.04
108,2.0,4.0,SFH15,1.2171702645620992,0.04
109,2.0,4.0,SFH15,0.6632192980044638,0.04
110,2.0,4.0,SFH45,0.624693400420056,0.04
111,2.0,2.0,SFH100,0.5411122968224337,0.04
112,2.0,2.0,SFH15,0.5720324081948122,0.04
113,2.0,2.0,SFH100,0.5534899296225368,0.04
114,2.0,2.0,SFH45,0.5587971837219102,0.04
115,2.0,2.0,SFH45,0.5498015534406637,0.04
116,2.0,6.0,SFH100,0.5519270067749636,0.04
117,2.0,6.0,SFH100,0.6158419035269334,0.04
118,2.0,6.0,SFH100,0.615214770327562,0.04
119,2.0,6.0,SFH100,0.5620345002818992,0.04
120,2.0,4.0,SFH45,0.5767121759620765,0.04
121,2.0,4.0,SFH45,0.5106321848892065,0.04
122,2.0,4.0,SFH15,0.8532921150385716,0.04
123,2.0,4.0,SFH15,0.6866421460908131,0.04
124,2.0,4.0,SFH15,1.0082083207398749,0.04
125,2.0,4.0,SFH45,0.5706055918055926,0.04
126,2.0,2.0,SFH100,0.5066756489122195,0.04
127,2.0,2.0,SFH15,0.6954255345693615,0.04
128,2.0,2.0,SFH100,0.4703903711576332,0.04
129,2.0,2.0,SFH45,0.4763614905274544,0.04
130,2.0,2.0,SFH45,0.5171584330314859,0.04
131,2.0,6.0,SFH100,0.5960468868313663,0.04
132,2.0,6.0,SFH100,0.5554676305688729,0.04
133,2.0,6.0,SFH100,0.5617666418872308,0.04
134,2.0,6.0,SFH100,0.6594465773899315,0.04
135,2.0,4.0,SFH45,0.6664064543343097,0.04
136,2.0,4.0,SFH45,0.5581755591956625,0.04
137,2.0,4.0,SFH15,0.6058965066627272,0.04
138,2.0,4.0,SFH15,0.6763548876974171,0.04
139,2.0,4.0,SFH15,1.0115904456556957,0.04
140,2.0,4.0,SFH45,0.8214359884904159,0.04
141,2.0,2.0,SFH100,0.49125494555706983,0.04
142,2.0,2.0,SFH100,0.4802193450215823,0.04
143,2.0,2.0,SFH15,0.6155563056797126,0.04
144,2.0,2.0,SFH45,0.4541252429655126,0.04
145,2.0,2.0,SFH45,0.6483162331745962,0.04
146,2.0,6.0,SFH100,0.6275446598031436,0.04
147,2.0,6.0,SFH100,0.6510780559381049,0.04
148,2.0,6.0,SFH100,0.5177226061926813,0.04
149,2.0,6.0,SFH100,0.579245719827816,0.04
150,2.0,4.0,SFH45,0.7029961469503925,0.04
151,2.0,4.0,SFH45,0.5598515394028942,0.04
152,2.0,4.0,SFH15,1.1761935260238703,0.04
153,2.0,4.0,SFH15,0.9780833098682955,0.04
154,2.0,4.0,SFH15,1.129177026304918,0.04
155,2.0,4.0,SFH45,0.5681268320284374,0.04
156,2.0,2.0,SFH100,0.5847031580702251,0.04
157,2.0,2.0,SFH15,0.5239300831120461,0.04
158,2.0,2.0,SFH100,0.5815387815545213,0.04
159,2.0,2.0,SFH45,0.5062496967315946,0.04
160,2.0,2.0,SFH45,0.4928100349414366,0.04
161,2.0,4.0,SFH45,0.6227785001659083,0.04
162,2.0,6.0,SFH100,0.6552527797201353,0.04
163,2.0,6.0,SFH100,0.679458083868861,0.04
164,2.0,6.0,SFH100,0.6035342050246445,0.04
165,2.0,4.0,SFH45,0.4968531031455843,0.04
166,2.0,6.0,SFH100,0.5577057836052525,0.04
167,2.0,4.0,SFH15,0.6215038080278428,0.04
168,2.0,4.0,SFH15,0.551936790181193,0.04
169,2.0,4.0,SFH15,0.90695518035471,0.04
170,2.0,4.0,SFH45,0.7690901791863286,0.04
171,2.0,2.0,SFH100,0.4835306039383524,0.04
172,2.0,2.0,SFH100,0.5323069628383514,0.04
173,2.0,2.0,SFH15,0.7596263100100312,0.04
174,2.0,2.0,SFH45,0.42177460054488514,0.04
175,2.0,2.0,SFH45,0.4659084620640156,0.04
176,2.0,4.0,SFH45,0.6258567917652172,0.04
177,2.0,4.0,SFH45,0.6502463177751926,0.04
178,2.0,4.0,SFH15,0.7180271931010666,0.04
179,2.0,4.0,SFH15,0.6609036632757443,0.04
180,2.0,4.0,SFH15,0.7990074635508019,0.04
181,2.0,6.0,SFH100,0.530324555647378,0.04
182,2.0,6.0,SFH100,0.6079796569142659,0.04
183,2.0,6.0,SFH100,0.5493694207321971,0.04
184,2.0,4.0,SFH45,0.7522468762555983,0.04
185,2.0,6.0,SFH100,0.5331080163841977,0.04
186,2.0,2.0,SFH100,0.4885188119993657,0.04
187,2.0,2.0,SFH15,0.49660037670001317,0.04
188,2.0,2.0,SFH100,0.4677734348620721,0.04
189,2.0,2.0,SFH45,0.45938656245832726,0.04
190,2.0,2.0,SFH45,0.6235911090281138,0.04
191,2.0,4.0,SFH45,0.6572806038531167,0.04
