,App_comb,conf,house_type,CAPEX,CAPEX_PV,CAPEX_hp,CAPEX_batt,CAPEX_tank,CAPEX_DHW
0,3.0,0.0,SFH100,51561.23076926523,10363.200000000104,41198.03076926508,0.0,0.0,0
1,3.0,0.0,SFH15,20662.707692315973,10363.200000000104,10299.50769231627,0.0,0.0,0
2,3.0,0.0,SFH45,25812.461538474563,10363.200000000104,15449.26153847412,0.0,0.0,0
3,3.0,2.0,SFH100,58729.68812311739,10363.200000000104,41198.03076926508,0.0,7168.45735385213,0
4,3.0,2.0,SFH15,20662.707692315973,10363.200000000104,10299.50769231627,0.0,0.0,0
5,3.0,2.0,SFH45,25812.461538474563,10363.200000000104,15449.26153847412,0.0,0.0,0
6,3.0,4.0,SFH100,60272.981182162635,10363.200000000104,41198.03076926508,8711.750412897578,0.0,0
7,3.0,4.0,SFH15,28969.3810985621,10363.200000000104,10299.50769231627,8306.673406246045,0.0,0
8,3.0,4.0,SFH45,34267.400761109224,10363.200000000104,15449.26153847412,8454.939222634805,0.0,0
