#timeStep	1(972666):0:Ta(celsius)	1(972666):0:Heating(Wh)	1(972666):0:Cooling(Wh)	1(972666):0:Qi(Wh)	1(972666):0:Qs(Wh)	1(972666):0:VdotVent(m³/h)	1(972666):HeatStockTemperature(celsius)	1(972666):MachinePower(W)	1(972666):FuelConsumption(MJ)	1(972666):ElectricConsumption(kWh)	1(972666):SolarPVProduction(Wh)	1(972666):SolarThermalProduction(Wh)	2(504125937):0:Ta(celsius)	2(504125937):0:Heating(Wh)	2(504125937):0:Cooling(Wh)	2(504125937):0:Qi(Wh)	2(504125937):0:Qs(Wh)	2(504125937):0:VdotVent(m³/h)	2(504125937):HeatStockTemperature(celsius)	2(504125937):MachinePower(W)	2(504125937):FuelConsumption(MJ)	2(504125937):ElectricConsumption(kWh)	2(504125937):SolarPVProduction(Wh)	2(504125937):SolarThermalProduction(Wh)	3(972640):0:Ta(celsius)	3(972640):0:Heating(Wh)	3(972640):0:Cooling(Wh)	3(972640):0:Qi(Wh)	3(972640):0:Qs(Wh)	3(972640):0:VdotVent(m³/h)	3(972640):HeatStockTemperature(celsius)	3(972640):MachinePower(W)	3(972640):FuelConsumption(MJ)	3(972640):ElectricConsumption(kWh)	3(972640):SolarPVProduction(Wh)	3(972640):SolarThermalProduction(Wh)	
7154	20.0	17235	0	1323	17235	0.0	60.0	25635	96.130	0.270	0	0	20.0	7834	0	867	7834	0.0	60.0	16234	60.877	0.064	0	0	20.0	15879	0	1213	15879	0.0	60.0	24279	91.047	0.248	0	0	
7155	20.0	17739	0	1323	17739	0.0	60.0	26139	98.020	0.270	0	0	20.0	8033	0	867	8033	0.0	60.0	16433	61.624	0.064	0	0	20.0	16347	0	1213	16347	0.0	60.0	24747	92.801	0.248	0	0	
7156	20.0	18062	0	1323	18062	0.0	60.0	26462	99.233	0.270	0	0	20.0	8166	0	867	8166	0.0	60.0	16566	62.124	0.064	0	0	20.0	16646	0	1213	16646	0.0	60.0	25046	93.922	0.248	0	0	
7157	20.0	18277	0	1323	18277	0.0	60.0	26677	100.039	0.270	0	0	20.0	8262	0	867	8262	0.0	60.0	16662	62.482	0.064	0	0	20.0	16853	0	1213	16853	0.0	60.0	25253	94.700	0.248	0	0	
7158	20.0	18490	0	1323	18490	0.0	60.0	26890	100.839	0.270	0	0	20.0	8360	0	867	8360	0.0	60.0	16760	62.848	0.064	0	0	20.0	17049	0	1213	17049	0.0	60.0	25449	95.433	0.248	0	0	
7159	20.0	17227	0	2811	17227	0.0	60.0	25627	96.103	2.164	0	0	20.0	7511	0	1826	7511	0.0	60.0	15911	59.668	1.308	0	0	20.0	15892	0	2577	15892	0.0	60.0	24292	91.094	1.984	0	0	
7160	20.0	17592	0	2430	17592	0.0	60.0	25992	97.470	1.855	69	0	20.0	7863	0	1454	7863	0.0	60.0	16263	60.986	1.032	0	0	20.0	16228	0	2212	16228	0.0	60.0	24628	92.357	1.700	28	0	
7161	20.0	17084	0	2337	17084	0.0	60.0	25484	95.566	0.711	771	0	20.0	7699	0	1426	7699	0.0	60.0	16099	60.370	0.739	0	0	20.0	15892	0	1977	15892	0.0	60.0	24292	91.095	0.652	319	0	
7162	20.0	16231	0	2874	16231	0.0	60.0	24631	92.366	0.541	1197	0	20.0	7297	0	1718	7297	0.0	60.0	15697	58.864	0.799	0	0	20.0	15103	0	2378	15103	0.0	60.0	23503	88.135	0.496	494	0	
7163	20.0	15451	0	3338	15451	0.0	60.0	23851	89.440	0.541	1485	0	20.0	7080	0	1923	7080	0.0	60.0	15480	58.051	0.850	0	0	20.0	14576	0	2740	14576	0.0	60.0	22976	86.158	0.496	611	0	
