index;Price_flat;Price_DT;Export_price;Price_flat_mod;Price_DT_mod
01/01/2015 18:15;0.22;0.2588;0.05075;0.1716;0.204452
01/01/2015 18:30;0.22;0.2588;0.05075;0.1716;0.204452
01/01/2015 18:45;0.22;0.2588;0.05075;0.1716;0.204452
01/01/2015 19:00;0.22;0.2588;0.0493;0.1716;0.204452
01/01/2015 19:15;0.22;0.2588;0.0493;0.1716;0.204452
01/01/2015 19:30;0.22;0.2588;0.0493;0.1716;0.204452
01/01/2015 19:45;0.22;0.2588;0.0493;0.1716;0.204452
01/01/2015 20:00;0.22;0.2588;0.048240000000000005;0.1716;0.204452
01/01/2015 20:15;0.22;0.2588;0.048240000000000005;0.1716;0.204452
01/01/2015 20:30;0.22;0.2588;0.048240000000000005;0.1716;0.204452
01/01/2015 20:45;0.22;0.2588;0.048240000000000005;0.1716;0.204452
01/01/2015 21:00;0.22;0.2588;0.04904;0.1716;0.204452
01/01/2015 21:15;0.22;0.2588;0.04904;0.1716;0.204452
01/01/2015 21:30;0.22;0.2588;0.04904;0.1716;0.204452
01/01/2015 21:45;0.22;0.2588;0.04904;0.1716;0.204452
01/01/2015 22:00;0.22;0.1646;0.04614;0.1716;0.130034
01/01/2015 22:15;0.22;0.1646;0.04614;0.1716;0.130034
01/01/2015 22:30;0.22;0.1646;0.04614;0.1716;0.130034
01/01/2015 22:45;0.22;0.1646;0.04614;0.1716;0.130034
01/01/2015 23:00;0.22;0.1646;0.04229;0.1716;0.130034
01/01/2015 23:15;0.22;0.1646;0.04229;0.1716;0.130034
01/01/2015 23:30;0.22;0.1646;0.04229;0.1716;0.130034
01/01/2015 23:45;0.22;0.1646;0.04229;0.1716;0.130034
02/01/2015 00:00;0.22;0.1646;0.0381;0.1716;0.130034
02/01/2015 00:15;0.22;0.1646;0.0381;0.1716;0.130034
02/01/2015 00:30;0.22;0.1646;0.0381;0.1716;0.130034
02/01/2015 00:45;0.22;0.1646;0.0381;0.1716;0.130034
02/01/2015 01:00;0.22;0.1646;0.03803;0.1716;0.130034
02/01/2015 01:15;0.22;0.1646;0.03803;0.1716;0.130034
02/01/2015 01:30;0.22;0.1646;0.03803;0.1716;0.130034
02/01/2015 01:45;0.22;0.1646;0.03803;0.1716;0.130034
02/01/2015 02:00;0.22;0.1646;0.032060000000000005;0.1716;0.130034
02/01/2015 02:15;0.22;0.1646;0.032060000000000005;0.1716;0.130034
02/01/2015 02:30;0.22;0.1646;0.032060000000000005;0.1716;0.130034
02/01/2015 02:45;0.22;0.1646;0.032060000000000005;0.1716;0.130034
02/01/2015 03:00;0.22;0.1646;0.02766;0.1716;0.130034
