,Qs,ElectricConsumption,SolarPVProduction
226,12.332,0.676,0.0
227,10.36,1.826,0.0
228,8.355,3.787,0.0
229,5.291,1.681,0.0
230,6.381,0.676,0.0
231,7.142,0.676,0.0
232,9.167,1.826,0.0
233,8.534,3.864,0.0
234,9.518,3.014,0.0
235,10.089,2.666,0.0
236,10.663,2.318,0.0
237,10.22,2.898,0.0
238,10.42,2.898,0.0
239,12.802,0.338,0.0
240,13.084,0.338,0.0
241,13.344,0.338,0.0
242,13.574,0.338,0.0
243,13.7,0.338,0.0
244,13.842,0.338,0.0
245,13.937,0.338,0.0
246,12.208,2.705,0.0
247,12.91,2.318,0.0
248,13.709,0.889,0.0
249,9.442,0.676,0.0
250,7.216,0.676,0.0
251,4.612,1.826,0.0
252,1.367,3.787,0.0
253,2.977,1.681,0.0
254,4.253,0.676,0.0
255,5.346,0.676,0.0
256,6.415,1.826,0.0
257,7.522,3.864,0.0
258,8.762,3.014,0.0
259,9.555,2.666,0.0
260,10.322,2.318,0.0
261,10.061,2.898,0.0
262,10.513,2.898,0.0
263,13.06,0.338,0.0
264,13.413,0.338,0.0
265,14.058,0.338,0.0
266,14.699,0.338,0.0
267,15.036,0.338,0.0
268,15.358,0.338,0.0
269,15.684,0.338,0.0
270,14.088,2.705,0.0
271,14.935,2.318,0.0
272,15.986,0.889,0.0
273,12.209,0.676,0.0
274,10.345,0.676,0.0
275,7.028,1.826,0.0
276,3.738,3.787,0.0
277,7.819,1.681,0.0
278,8.83,0.676,0.0
279,11.654,0.676,0.0
280,12.713,1.826,0.0
281,12.595,3.864,0.0
282,13.576,3.014,0.0
283,14.219,2.666,0.0
284,14.773,2.318,0.0
285,14.375,2.898,0.0
286,14.652,2.898,0.0
287,17.114,0.338,0.0
288,17.07,0.338,0.0
289,17.053,0.338,0.0
290,16.92,0.338,0.0
291,16.738,0.338,0.0
292,16.754,0.338,0.0
293,16.676,0.338,0.0
294,14.803,2.705,0.0
295,15.268,2.318,0.0
296,16.163,0.889,0.0
297,11.664,0.676,0.0
298,9.239,0.676,0.0
299,6.39,1.826,0.0
300,3.072,3.787,0.0
301,4.6,1.681,0.0
302,6.102,0.676,0.0
303,6.987,0.676,0.0
