,Qs,ElectricConsumption,SolarPVProduction
226,25.41,1.893,0.0
227,20.684,5.112,0.0
228,15.244,10.603,0.0
229,10.754,4.706,0.0
230,15.38,1.893,0.0
231,17.287,1.893,0.0
232,18.324,5.112,0.0
233,14.803,10.819,0.0
234,17.315,8.439,0.0
235,18.661,7.465,0.0
236,20.036,6.492,0.0
237,18.611,8.114,0.0
238,19.015,8.114,0.0
239,25.509,0.947,0.0
240,26.063,0.947,0.0
241,26.59,0.947,0.0
242,27.067,0.947,0.0
243,27.296,0.947,0.0
244,27.584,0.947,0.0
245,27.764,0.947,0.0
246,22.852,7.573,0.0
247,24.636,6.492,0.0
248,27.506,2.488,0.0
249,20.995,1.893,0.0
250,18.112,1.893,0.0
251,10.809,5.112,0.0
252,3.236,10.603,0.0
253,7.37,4.706,0.0
254,11.235,1.893,0.0
255,14.802,1.893,0.0
256,14.401,5.112,0.0
257,12.847,10.819,0.0
258,15.827,8.439,0.0
259,17.691,7.465,0.0
260,19.454,6.492,0.0
261,18.439,8.114,0.0
262,19.344,8.114,0.0
263,26.217,0.947,0.0
264,26.987,0.947,0.0
265,28.227,0.947,0.0
266,29.548,0.947,0.0
267,30.241,0.947,0.0
268,30.891,0.947,0.0
269,31.559,0.947,0.0
270,26.913,7.573,0.0
271,29.01,6.492,0.0
272,32.398,2.488,0.0
273,26.823,1.893,0.0
274,23.566,1.893,0.0
275,16.331,5.112,0.0
276,9.027,10.603,0.0
277,16.873,4.706,0.0
278,20.282,1.893,0.0
279,25.447,1.893,0.0
280,26.003,5.112,0.0
281,23.369,10.819,0.0
282,25.895,8.439,0.0
283,27.396,7.465,0.0
284,28.746,6.492,0.0
285,27.41,8.114,0.0
286,27.959,8.114,0.0
287,34.631,0.947,0.0
288,34.517,0.947,0.0
289,34.45,0.947,0.0
290,34.156,0.947,0.0
291,33.827,0.947,0.0
292,33.811,0.947,0.0
293,33.667,0.947,0.0
294,28.416,7.573,0.0
295,29.724,6.492,0.0
296,32.759,2.488,0.0
297,25.322,1.893,0.0
298,21.231,1.893,0.0
299,14.543,5.112,0.0
300,7.081,10.603,0.0
301,10.695,4.706,0.0
302,15.024,1.893,0.0
303,17.973,1.893,0.0
304,18.201,5.112,0.0
305,17.12,10.819,0.0
306,19.132,8.439,0.0
307,20.271,7.465,0.0
308,21.488,6.492,0.0
309,19.745,8.114,0.0
310,19.824,8.114,0.0
311,26.177,0.947,0.0
312,26.779,0.947,0.0
313,27.333,0.947,0.0
314,28.03,0.947,0.0
315,28.37,0.947,0.0
316,28.66,0.947,0.0
317,28.878,0.947,0.0
318,23.972,7.573,0.0
319,25.778,6.492,0.0
320,28.698,2.488,0.0
321,25.91,1.893,0.0
322,27.297,1.893,0.0
323,23.43,5.112,0.0
324,8.513,10.603,0.0
325,12.656,4.706,0.0
326,16.991,1.893,0.0
327,19.965,1.893,0.0
328,19.422,5.112,0.0
329,17.999,10.819,0.0
330,20.587,8.439,0.0
331,21.98,7.465,0.0
332,23.404,6.492,0.0
333,22.042,8.114,0.0
334,22.704,8.114,0.0
335,29.358,0.947,0.0
336,29.883,0.947,0.0
337,30.377,0.947,0.0
338,30.901,0.947,0.0
339,31.114,0.947,0.0
340,31.327,0.947,0.0
341,31.501,0.947,0.0
342,26.68,7.573,0.0
343,28.269,6.492,0.0
344,30.581,2.488,0.0
345,25.333,1.893,0.0
346,20.672,1.893,0.0
347,14.459,5.112,0.0
348,8.997,10.603,0.0
349,13.361,4.706,0.0
350,24.146,1.893,0.0
351,27.182,1.893,0.0
352,25.594,5.112,0.0
353,21.49,10.819,0.0
354,23.594,8.439,0.0
355,24.736,7.465,0.0
356,25.751,6.492,0.0
357,24.129,8.114,0.0
358,24.36,8.114,0.0
359,30.85,0.947,0.0
360,31.111,0.947,0.0
361,31.347,0.947,0.0
362,31.561,0.947,0.0
363,31.736,0.947,0.0
364,31.905,0.947,0.0
365,32.101,0.947,0.0
366,26.956,7.573,0.0
367,28.458,6.492,0.0
368,31.255,2.488,0.0
369,24.539,1.893,0.0
370,20.802,1.893,0.0
371,12.807,5.112,0.0
372,5.386,10.603,0.0
373,9.399,4.706,0.0
374,13.286,1.893,0.0
375,17.411,1.893,0.0
376,16.537,5.112,0.0
377,16.377,10.819,0.0
378,18.382,8.439,0.0
379,19.34,7.465,0.0
380,20.341,6.492,0.0
381,18.587,8.114,0.0
382,18.612,8.114,0.0
383,24.826,0.947,0.0
384,25.058,0.947,0.0
385,25.157,0.947,0.0
386,25.394,0.947,0.0
387,25.412,0.947,0.0
388,25.606,0.947,0.0
389,25.781,0.947,0.0
390,20.643,7.573,0.0
391,22.167,6.492,0.0
392,25.435,2.488,0.0
393,21.408,1.893,0.0
394,17.848,1.893,0.0
395,9.221,5.112,0.0
396,3.396,10.603,0.0
397,7.313,4.706,0.0
398,11.558,1.893,0.0
399,13.541,1.893,0.0
400,14.979,5.112,0.0
401,13.181,10.819,0.0
402,15.626,8.439,0.0
403,16.882,7.465,0.0
404,18.267,6.492,0.0
405,16.682,8.114,0.0
406,17.087,8.114,0.0
407,23.599,0.947,0.0
408,24.167,0.947,0.0
409,24.93,0.947,0.0
410,25.467,0.947,0.0
411,25.876,0.947,0.0
412,26.175,0.947,0.0
413,26.443,0.947,0.0
414,21.574,7.573,0.0
415,23.24,6.492,0.0
416,26.023,2.488,0.0
417,19.415,1.893,0.0
418,15.998,1.893,0.0
419,8.278,5.112,0.0
420,0.219,10.603,0.0
421,4.276,4.706,0.0
422,7.76,1.893,0.0
423,12.41,1.893,0.0
424,11.964,5.112,0.0
425,11.05,10.819,0.0
426,13.631,8.439,0.0
427,14.866,7.465,0.0
428,16.212,6.492,0.0
429,14.828,8.114,0.0
430,15.264,8.114,0.0
