HP_rating;T_dist;T_outside;P_el;COP
8;40;7;2,7;3,58
8;40;12;2,7;3,88
8;40;15;2,7;4,27
8;40;20;2,6;4,97
8;45;-20;3,2;1,03
8;45;-15;3,1;1,39
8;45;-10;3,1;1,8
8;45;-7;3;2,06
8;45;-2;2,9;2,34
8;45;2;2,8;2,61
8;45;7;3;3,22
8;45;12;2,9;3,44
8;45;15;2,9;3,78
8;45;20;2,9;4,39
8;50;-20;3,2;1,02
8;50;-15;3,2;1,32
8;50;-10;3,2;1,69
8;50;-7;3,1;1,91
8;50;-2;3;2,22
8;50;2;2,9;2,45
8;50;7;3,1;2,94
8;50;12;3,1;3,15
8;50;15;3;3,43
8;50;20;3;3,94
8;55;-20;;
8;55;-15;3,3;1,2
8;55;-10;3,2;1,52
8;55;-7;3,2;1,71
8;55;-2;3,1;1,96
8;55;2;3,1;2,15
8;55;7;3,2;2,69
8;55;12;3,2;2,87
8;55;15;3,2;3,1
8;55;20;3,2;3,55
11;30;-20;3,7;1,98
11;30;-15;3,9;2,25
11;30;-10;3,4;2,63
11;30;-7;3,1;2,91
11;30;-2;2,9;3,29
11;30;2;2,6;3,71
11;30;7;2,3;5,21
11;30;12;2,2;5,82
11;30;15;2,2;6,36
11;30;20;2,1;7,43
11;35;-20;4,1;1,8
11;35;-15;4,3;2,03
11;35;-10;3,8;2,34
11;35;-7;3,4;2,57
11;35;-2;3,2;2,88
11;35;2;2,8;3,2
11;35;7;2,6;4,46
11;35;12;2,5;4,98
11;35;15;2,5;5,44
11;35;20;2,4;6,33
11;40;-20;4,5;1,63
11;40;-15;4,7;1,82
11;40;-10;4,1;2,07
11;40;-7;3,8;2,26
11;40;-2;3,5;2,51
11;40;2;3,1;2,75
11;40;7;2,8;3,95
11;40;12;2,8;4,42
11;40;15;2,7;4,83
11;40;20;2,7;5,6
11;45;-20;4,7;1,44
11;45;-15;4,7;1,67
11;45;-10;4,3;1,87
11;45;-7;4,1;2,01
11;45;-2;3,8;2,25
11;45;2;3,4;2,58
11;45;7;3,2;3,48
11;45;12;3,1;3,89
11;45;15;3,1;4,24
11;45;20;3;4,93
11;50;-20;;
11;50;-15;4,7;1,47
11;50;-10;4,6;1,64
11;50;-7;4,6;1,74
11;50;-2;4,3;2
11;50;2;3,8;2,21
11;50;7;3,5;3,03
11;50;12;3,5;3,38
11;50;15;3,5;3,69
11;50;20;3,4;4,16
11;55;-20;;
11;55;-15;4,8;0,94
11;55;-10;4,7;1,34
11;55;-7;4,7;1,52
11;55;-2;4,6;1,7
11;55;2;4,2;1,81
11;55;7;3,9;2,54
11;55;12;3,9;2,84
11;55;15;3,9;3,11
11;55;20;3,8;3,51
14;30;-20;4,9;1,82
14;30;-15;5;2,08
14;30;-10;4,7;2,44
14;30;-7;4,5;2,68
14;30;-2;3,7;3,06
14;30;2;3,3;3,46
14;30;7;3,1;4,92
14;30;12;3;5,38
14;30;15;3;5,85
14;30;20;2,9;6,75
14;35;-20;5,3;1,7
14;35;-15;5,3;1,91
14;35;-10;5;2,2
14;35;-7;4,9;2,4
14;35;-2;4,1;2,72
14;35;2;3,6;3,05
14;35;7;3,3;4,36
14;35;12;3,3;4,7
14;35;15;3,3;5,11
14;35;20;3,2;5,88
14;40;-20;5,6;1,57
14;40;-15;5,6;1,75
14;40;-10;5,4;1,99
14;40;-7;5,3;2,14
14;40;-2;4,5;2,41
14;40;2;3,9;2,69
14;40;7;3,7;3,74
14;40;12;3,6;4,07
14;40;15;3,6;4,43
14;40;20;3,6;5,1
14;45;-20;5,6;1,28
14;45;-15;5,6;1,6
14;45;-10;5,6;1,83
14;45;-7;5,6;1,97
14;45;-2;4,8;2,17
14;45;2;4,3;2,45
14;45;7;4,1;3,29
14;45;12;4;3,59
14;45;15;4;3,9
14;45;20;4;4,48
14;50;-20;;
14;50;-15;5,6;1,47
14;50;-10;5,6;1,65
14;50;-7;5,6;1,75
14;50;-2;5,2;1,95
14;50;2;4,7;2,19
14;50;7;4,6;2,93
14;50;12;4,4;3,19
14;50;15;4,5;3,46
14;50;20;4,4;3,87
14;55;-20;;
14;55;-15;6,2;1,06
14;55;-10;5,8;1,41
14;55;-7;5,6;1,56
14;55;-2;5,2;1,7
14;55;2;5,2;1,9
14;55;7;5,1;2,52
14;55;12;4,9;2,75
14;55;15;4,9;2,99
14;55;20;4,9;3,33
16;30;-20;5,6;1,71
16;30;-15;5,8;1,84
16;30;-10;5,3;2,25
16;30;-7;5;2,53
16;30;-2;4,2;2,86
16;30;2;3,7;3,21
16;30;7;3,5;4,81
16;30;12;3,4;5,16
16;30;15;3,4;5,6
16;30;20;3,3;6,43
16;35;-20;5,9;1,64
16;35;-15;6,2;1,71
16;35;-10;5,7;2,04
16;35;-7;5,4;2,28
16;35;-2;4,6;2,55
16;35;2;4;2,85
16;35;7;3,7;4,3
16;35;12;3,7;4,54
16;35;15;3,7;4,92
16;35;20;3,7;5,64
16;40;-20;6,3;1,52
16;40;-15;6,2;1,59
16;40;-10;6;1,87
16;40;-7;5,9;2,05
16;40;-2;5,1;2,27
16;40;2;4,4;2,52
16;40;7;4,2;3,71
16;40;12;4,1;3,97
16;40;15;4,1;4,3
16;40;20;4,1;4,94
16;45;-20;6,3;1,22
16;45;-15;6,3;1,53
16;45;-10;6,3;1,71
16;45;-7;6,3;1,82
16;45;-2;5,5;2,06
16;45;2;4,8;2,39
16;45;7;4,6;3,29
16;45;12;4,5;3,51
16;45;15;4,5;3,81
16;45;20;4,5;4,35
16;50;-20;;
16;50;-15;6,3;1,4
16;50;-10;6,3;1,55
16;50;-7;6,3;1,63
16;50;-2;5,8;1,81
16;50;2;5,4;2,04
16;50;7;5,1;2,86
16;50;12;5;3,05
16;50;15;5;3,31
16;50;20;5;3,78
16;55;-20;;
16;55;-15;7,1;0,98
16;55;-10;6,6;1,31
16;55;-7;6,3;1,46
16;55;-2;5,8;1,62
16;55;2;5,8;1,78
16;55;7;5,6;2,48
16;55;12;5,5;2,64
16;55;15;5,5;2,86
16;55;20;5,5;3,27
20;30;-20;5,71;3,5
20;30;-15;5,27;3,79
20;30;-10;4,82;4,15
20;30;-7;4,54;4,4
20;30;-2;4,07;4,91
20;30;2;3,68;5,44
20;30;7;3,17;6,32
20;30;12;2,63;7,61
20;30;15;2,29;8,74
20;30;20;1,68;11,9
20;35;-20;6,14;3,26
20;35;-15;5,71;3,5
20;35;-10;5,27;3,79
20;35;-7;5;4
20;35;-2;4,54;4,4
20;35;2;4,17;4,8
20;35;7;3,68;5,44
20;35;12;3,17;6,32
20;35;15;2,85;7,02
20;35;20;2,29;8,74
20;40;-20;6,56;3,05
20;40;-15;6,14;3,26
20;40;-10;5,71;3,5
20;40;-7;5,45;3,67
20;40;-2;5;4
20;40;2;4,64;4,31
20;40;7;4,17;4,8
20;40;12;3,68;5,44
20;40;15;3,37;5,93
20;40;20;2,85;7,02
20;45;-20;6,97;2,87
20;45;-15;6,56;3,05
20;45;-10;6,14;3,26
20;45;-7;5,89;3,4
20;45;-2;5,45;3,67
20;45;2;5,09;3,93
20;45;7;4,64;4,31
20;45;12;4,17;4,8
20;45;15;3,87;5,16
20;45;20;3,37;5,93
20;50;-20;7,38;2,71
20;50;-15;6,97;2,87
20;50;-10;6,56;3,05
20;50;-7;6,31;3,17
20;50;-2;5,89;3,4
20;50;2;5,54;3,61
20;50;7;5,09;3,93
20;50;12;4,64;4,31
20;50;15;4,36;4,59
20;50;20;3,87;5,16
20;55;-20;7,77;2,57
20;55;-15;7,38;2,71
20;55;-10;6,97;2,87
20;55;-7;6,73;2,97
20;55;-2;6,31;3,17
20;55;2;5,97;3,35
20;55;7;5,54;3,61
20;55;12;5,09;3,93
20;55;15;4,82;4,15
20;55;20;4,36;4,59
25;30;-20;7,14;3,5
25;30;-15;6,59;3,79
25;30;-10;6,03;4,15
25;30;-7;5,68;4,4
25;30;-2;5,09;4,91
25;30;2;4,6;5,44
25;30;7;3,96;6,32
25;30;12;3,29;7,61
25;30;15;2,86;8,74
25;30;20;2,1;11,9
25;35;-20;7,68;3,26
25;35;-15;7,14;3,5
25;35;-10;6,59;3,79
25;35;-7;6,25;4
25;35;-2;5,68;4,4
25;35;2;5,21;4,8
25;35;7;4,6;5,44
25;35;12;3,96;6,32
25;35;15;3,56;7,02
25;35;20;2,86;8,74
25;40;-20;8,2;3,05
25;40;-15;7,68;3,26
25;40;-10;7,14;3,5
25;40;-7;6,81;3,67
25;40;-2;6,25;4
25;40;2;5,8;4,31
25;40;7;5,21;4,8
25;40;12;4,6;5,44
25;40;15;4,22;5,93
25;40;20;3,56;7,02
25;45;-20;8,72;2,87
25;45;-15;8,2;3,05
25;45;-10;7,68;3,26
25;45;-7;7,36;3,4
25;45;-2;6,81;3,67
25;45;2;6,37;3,93
25;45;7;5,8;4,31
25;45;12;5,21;4,8
25;45;15;4,84;5,16
25;45;20;4,22;5,93
25;50;-20;9,22;2,71
25;50;-15;8,72;2,87
25;50;-10;8,2;3,05
25;50;-7;7,89;3,17
25;50;-2;7,36;3,4
25;50;2;6,92;3,61
25;50;7;6,37;3,93
25;50;12;5,8;4,31
25;50;15;5,45;4,59
25;50;20;4,84;5,16
25;55;-20;9,72;2,57
25;55;-15;9,22;2,71
25;55;-10;8,72;2,87
25;55;-7;8,41;2,97
25;55;-2;7,89;3,17
25;55;2;7,46;3,35
25;55;7;6,92;3,61
25;55;12;6,37;3,93
25;55;15;6,03;4,15
25;55;20;5,45;4,59
30;30;-20;8,57;3,5
30;30;-15;7,91;3,79
30;30;-10;7,23;4,15
30;30;-7;6,82;4,4
30;30;-2;6,1;4,91
30;30;2;5,52;5,44
30;30;7;4,75;6,32
30;30;12;3,94;7,61
30;30;15;3,43;8,74
30;30;20;2,52;11,9
30;35;-20;9,21;3,26
30;35;-15;8,57;3,5
30;35;-10;7,91;3,79
30;35;-7;7,51;4
30;35;-2;6,82;4,4
30;35;2;6,25;4,8
30;35;7;5,52;5,44
30;35;12;4,75;6,32
30;35;15;4,27;7,02
30;35;20;3,43;8,74
30;40;-20;9,84;3,05
30;40;-15;9,21;3,26
30;40;-10;8,57;3,5
30;40;-7;8,18;3,67
30;40;-2;7,51;4
30;40;2;6,96;4,31
30;40;7;6,25;4,8
30;40;12;5,52;5,44
30;40;15;5,06;5,93
30;40;20;4,27;7,02
30;45;-20;10,46;2,87
30;45;-15;9,84;3,05
30;45;-10;9,21;3,26
30;45;-7;8,83;3,4
30;45;-2;8,18;3,67
30;45;2;7,64;3,93
30;45;7;6,96;4,31
30;45;12;6,25;4,8
30;45;15;5,81;5,16
30;45;20;5,06;5,93
30;50;-20;11,07;2,71
30;50;-15;10,46;2,87
30;50;-10;9,84;3,05
30;50;-7;9,47;3,17
30;50;-2;8,83;3,4
30;50;2;8,31;3,61
30;50;7;7,64;3,93
30;50;12;6,96;4,31
30;50;15;6,53;4,59
30;50;20;5,81;5,16
30;55;-20;11,66;2,57
30;55;-15;11,07;2,71
30;55;-10;10,46;2,87
30;55;-7;10,09;2,97
30;55;-2;9,47;3,17
30;55;2;8,96;3,35
30;55;7;8,31;3,61
30;55;12;7,64;3,93
30;55;15;7,23;4,15
30;55;20;6,53;4,59
40;30;-20;11,43;3,5
40;30;-15;10,55;3,79
40;30;-10;9,64;4,15
40;30;-7;9,09;4,4
40;30;-2;8,14;4,91
40;30;2;7,35;5,44
40;30;7;6,33;6,32
40;30;12;5,26;7,61
40;30;15;4,58;8,74
40;30;20;3,36;11,9
40;35;-20;12,28;3,26
40;35;-15;11,43;3,5
40;35;-10;10,55;3,79
40;35;-7;10,01;4
40;35;-2;9,09;4,4
40;35;2;8,33;4,8
40;35;7;7,35;5,44
40;35;12;6,33;6,32
40;35;15;5,69;7,02
40;35;20;4,58;8,74
40;40;-20;13,12;3,05
40;40;-15;12,28;3,26
40;40;-10;11,43;3,5
40;40;-7;10,9;3,67
40;40;-2;10,01;4
40;40;2;9,27;4,31
40;40;7;8,33;4,8
40;40;12;7,35;5,44
40;40;15;6,75;5,93
40;40;20;5,69;7,02
40;45;-20;13,95;2,87
40;45;-15;13,12;3,05
40;45;-10;12,28;3,26
40;45;-7;11,77;3,4
40;45;-2;10,9;3,67
40;45;2;10,19;3,93
40;45;7;9,27;4,31
40;45;12;8,33;4,8
40;45;15;7,75;5,16
40;45;20;6,75;5,93
40;50;-20;14,75;2,71
40;50;-15;13,95;2,87
40;50;-10;13,12;3,05
40;50;-7;12,62;3,17
40;50;-2;11,77;3,4
40;50;2;11,08;3,61
40;50;7;10,19;3,93
40;50;12;9,27;4,31
40;50;15;8,71;4,59
40;50;20;7,75;5,16
40;55;-20;15,55;2,57
40;55;-15;14,75;2,71
40;55;-10;13,95;2,87
40;55;-7;13,45;2,97
40;55;-2;12,62;3,17
40;55;2;11,94;3,35
40;55;7;11,08;3,61
40;55;12;10,19;3,93
40;55;15;9,64;4,15
40;55;20;8,71;4,59
50;30;-20;14,28;3,5
50;30;-15;13,18;3,79
50;30;-10;12,05;4,15
50;30;-7;11,36;4,4
50;30;-2;10,17;4,91
50;30;2;9,19;5,44
50;30;7;7,92;6,32
50;30;12;6,57;7,61
50;30;15;5,72;8,74
50;30;20;4,2;11,9
50;35;-20;15,35;3,26
50;35;-15;14,28;3,5
50;35;-10;13,18;3,79
50;35;-7;12,51;4
50;35;-2;11,36;4,4
50;35;2;10,41;4,8
50;35;7;9,19;5,44
50;35;12;7,92;6,32
50;35;15;7,12;7,02
50;35;20;5,72;8,74
50;40;-20;16,4;3,05
50;40;-15;15,35;3,26
50;40;-10;14,28;3,5
50;40;-7;13,63;3,67
50;40;-2;12,51;4
50;40;2;11,59;4,31
50;40;7;10,41;4,8
50;40;12;9,19;5,44
50;40;15;8,43;5,93
50;40;20;7,12;7,02
50;45;-20;17,43;2,87
50;45;-15;16,4;3,05
50;45;-10;15,35;3,26
50;45;-7;14,71;3,4
50;45;-2;13,63;3,67
50;45;2;12,74;3,93
50;45;7;11,59;4,31
50;45;12;10,41;4,8
50;45;15;9,69;5,16
50;45;20;8,43;5,93
50;50;-20;18,44;2,71
50;50;-15;17,43;2,87
50;50;-10;16,4;3,05
50;50;-7;15,78;3,17
50;50;-2;14,71;3,4
50;50;2;13,85;3,61
50;50;7;12,74;3,93
50;50;12;11,59;4,31
50;50;15;10,89;4,59
50;50;20;9,69;5,16
50;55;-20;19,44;2,57
50;55;-15;18,44;2,71
50;55;-10;17,43;2,87
50;55;-7;16,82;2,97
50;55;-2;15,78;3,17
50;55;2;14,93;3,35
50;55;7;13,85;3,61
50;55;12;12,74;3,93
50;55;15;12,05;4,15
50;55;20;10,89;4,59
100;30;-20;28,56;3,5
100;30;-15;26,37;3,79
100;30;-10;24,11;4,15
100;30;-7;22,72;4,4
100;30;-2;20,35;4,91
100;30;2;18,38;5,44
100;30;7;15,83;6,32
100;30;12;13,14;7,61
100;30;15;11,44;8,74
100;30;20;8,41;11,9
100;35;-20;30,71;3,26
100;35;-15;28,56;3,5
100;35;-10;26,37;3,79
100;35;-7;25,02;4
100;35;-2;22,72;4,4
100;35;2;20,83;4,8
100;35;7;18,38;5,44
100;35;12;15,83;6,32
100;35;15;14,24;7,02
100;35;20;11,44;8,74
100;40;-20;32,81;3,05
100;40;-15;30,71;3,26
100;40;-10;28,56;3,5
100;40;-7;27,25;3,67
100;40;-2;25,02;4
100;40;2;23,19;4,31
100;40;7;20,83;4,8
100;40;12;18,38;5,44
100;40;15;16,87;5,93
100;40;20;14,24;7,02
100;45;-20;34,87;2,87
100;45;-15;32,81;3,05
100;45;-10;30,71;3,26
100;45;-7;29,43;3,4
100;45;-2;27,25;3,67
100;45;2;25,47;3,93
100;45;7;23,19;4,31
100;45;12;20,83;4,8
100;45;15;19,37;5,16
100;45;20;16,87;5,93
100;50;-20;36,89;2,71
100;50;-15;34,87;2,87
100;50;-10;32,81;3,05
100;50;-7;31,55;3,17
100;50;-2;29,43;3,4
100;50;2;27,69;3,61
100;50;7;25,47;3,93
100;50;12;23,19;4,31
100;50;15;21,78;4,59
100;50;20;19,37;5,16
100;55;-20;38,87;2,57
100;55;-15;36,89;2,71
100;55;-10;34,87;2,87
100;55;-7;33,64;2,97
100;55;-2;31,55;3,17
100;55;2;29,86;3,35
100;55;7;27,69;3,61
100;55;12;25,47;3,93
100;55;15;24,11;4,15
100;55;20;21,78;4,59
150;30;-20;42,85;3,5
150;30;-15;39,55;3,79
150;30;-10;36,16;4,15
150;30;-7;34,08;4,4
150;30;-2;30,52;4,91
150;30;2;27,58;5,44
150;30;7;23,75;6,32
150;30;12;19,71;7,61
150;30;15;17,16;8,74
150;30;20;12,61;11,9
150;35;-20;46,06;3,26
150;35;-15;42,85;3,5
150;35;-10;39,55;3,79
150;35;-7;37,53;4
150;35;-2;34,08;4,4
150;35;2;31,24;4,8
150;35;7;27,58;5,44
150;35;12;23,75;6,32
150;35;15;21,35;7,02
150;35;20;17,16;8,74
150;40;-20;49,21;3,05
150;40;-15;46,06;3,26
150;40;-10;42,85;3,5
150;40;-7;40,88;3,67
150;40;-2;37,53;4
150;40;2;34,78;4,31
150;40;7;31,24;4,8
150;40;12;27,58;5,44
150;40;15;25,3;5,93
150;40;20;21,35;7,02
150;45;-20;52,3;2,87
150;45;-15;49,21;3,05
150;45;-10;46,06;3,26
150;45;-7;44,14;3,4
150;45;-2;40,88;3,67
150;45;2;38,21;3,93
150;45;7;34,78;4,31
150;45;12;31,24;4,8
150;45;15;29,06;5,16
150;45;20;25,3;5,93
150;50;-20;55,33;2,71
150;50;-15;52,3;2,87
150;50;-10;49,21;3,05
150;50;-7;47,33;3,17
150;50;-2;44,14;3,4
150;50;2;41,54;3,61
150;50;7;38,21;3,93
150;50;12;34,78;4,31
150;50;15;32,67;4,59
150;50;20;29,06;5,16
150;55;-20;58,31;2,57
150;55;-15;55,33;2,71
150;55;-10;52,3;2,87
150;55;-7;50,45;2,97
150;55;-2;47,33;3,17
150;55;2;44,79;3,35
150;55;7;41,54;3,61
150;55;12;38,21;3,93
150;55;15;36,16;4,15
150;55;20;32,67;4,59
200;30;-20;57,13;3,5
200;30;-15;52,73;3,79
200;30;-10;48,22;4,15
200;30;-7;45,44;4,4
200;30;-2;40,69;4,91
200;30;2;36,77;5,44
200;30;7;31,66;6,32
200;30;12;26,28;7,61
200;30;15;22,88;8,74
200;30;20;16,81;11,9
200;35;-20;61,42;3,26
200;35;-15;57,13;3,5
200;35;-10;52,73;3,79
200;35;-7;50,04;4
200;35;-2;45,44;4,4
200;35;2;41,66;4,8
200;35;7;36,77;5,44
200;35;12;31,66;6,32
200;35;15;28,47;7,02
200;35;20;22,88;8,74
200;40;-20;65,62;3,05
200;40;-15;61,42;3,26
200;40;-10;57,13;3,5
200;40;-7;54,5;3,67
200;40;-2;50,04;4
200;40;2;46,37;4,31
200;40;7;41,66;4,8
200;40;12;36,77;5,44
200;40;15;33,73;5,93
200;40;20;28,47;7,02
200;45;-20;69,73;2,87
200;45;-15;65,62;3,05
200;45;-10;61,42;3,26
200;45;-7;58,86;3,4
200;45;-2;54,5;3,67
200;45;2;50,94;3,93
200;45;7;46,37;4,31
200;45;12;41,66;4,8
200;45;15;38,75;5,16
200;45;20;33,73;5,93
200;50;-20;73,77;2,71
200;50;-15;69,73;2,87
200;50;-10;65,62;3,05
200;50;-7;63,11;3,17
200;50;-2;58,86;3,4
200;50;2;55,38;3,61
200;50;7;50,94;3,93
200;50;12;46,37;4,31
200;50;15;43,56;4,59
200;50;20;38,75;5,16
200;55;-20;77,74;2,57
200;55;-15;73,77;2,71
200;55;-10;69,73;2,87
200;55;-7;67,27;2,97
200;55;-2;63,11;3,17
200;55;2;59,71;3,35
200;55;7;55,38;3,61
200;55;12;50,94;3,93
200;55;15;48,22;4,15
200;55;20;43,56;4,59
300;30;-20;85,69;3,5
300;30;-15;79,1;3,79
300;30;-10;72,32;4,15
300;30;-7;68,16;4,4
300;30;-2;61,04;4,91
300;30;2;55,15;5,44
300;30;7;47,49;6,32
300;30;12;39,42;7,61
300;30;15;34,32;8,74
300;30;20;25,22;11,9
300;35;-20;92,13;3,26
300;35;-15;85,69;3,5
300;35;-10;79,1;3,79
300;35;-7;75,06;4
300;35;-2;68,16;4,4
300;35;2;62,49;4,8
300;35;7;55,15;5,44
300;35;12;47,49;6,32
300;35;15;42,71;7,02
300;35;20;34,32;8,74
300;40;-20;98,43;3,05
300;40;-15;92,13;3,26
300;40;-10;85,69;3,5
300;40;-7;81,75;3,67
300;40;-2;75,06;4
300;40;2;69,56;4,31
300;40;7;62,49;4,8
300;40;12;55,15;5,44
300;40;15;50,6;5,93
300;40;20;42,71;7,02
300;45;-20;104,6;2,87
300;45;-15;98,43;3,05
300;45;-10;92,13;3,26
300;45;-7;88,28;3,4
300;45;-2;81,75;3,67
300;45;2;76,41;3,93
300;45;7;69,56;4,31
300;45;12;62,49;4,8
300;45;15;58,12;5,16
300;45;20;50,6;5,93
300;50;-20;110,66;2,71
300;50;-15;104,6;2,87
300;50;-10;98,43;3,05
300;50;-7;94,66;3,17
300;50;-2;88,28;3,4
300;50;2;83,07;3,61
300;50;7;76,41;3,93
300;50;12;69,56;4,31
300;50;15;65,34;4,59
300;50;20;58,12;5,16
300;55;-20;116,62;2,57
300;55;-15;110,66;2,71
300;55;-10;104,6;2,87
300;55;-7;100,91;2,97
300;55;-2;94,66;3,17
300;55;2;89,57;3,35
300;55;7;83,07;3,61
300;55;12;76,41;3,93
300;55;15;72,32;4,15
300;55;20;65,34;4,59
400;30;-20;114,25;3,5
400;30;-15;105,46;3,79
400;30;-10;96,43;4,15
400;30;-7;90,88;4,4
400;30;-2;81,39;4,91
400;30;2;73,54;5,44
400;30;7;63,32;6,32
400;30;12;52,56;7,61
400;30;15;45,76;8,74
400;30;20;33,62;11,9
400;35;-20;122,84;3,26
400;35;-15;114,25;3,5
400;35;-10;105,46;3,79
400;35;-7;100,07;4
400;35;-2;90,88;4,4
400;35;2;83,32;4,8
400;35;7;73,54;5,44
400;35;12;63,32;6,32
400;35;15;56,94;7,02
400;35;20;45,76;8,74
400;40;-20;131,24;3,05
400;40;-15;122,84;3,26
400;40;-10;114,25;3,5
400;40;-7;109,01;3,67
400;40;-2;100,07;4
400;40;2;92,74;4,31
400;40;7;83,32;4,8
400;40;12;73,54;5,44
400;40;15;67,47;5,93
400;40;20;56,94;7,02
400;45;-20;139,47;2,87
400;45;-15;131,24;3,05
400;45;-10;122,84;3,26
400;45;-7;117,71;3,4
400;45;-2;109,01;3,67
400;45;2;101,88;3,93
400;45;7;92,74;4,31
400;45;12;83,32;4,8
400;45;15;77,49;5,16
400;45;20;67,47;5,93
400;50;-20;147,55;2,71
400;50;-15;139,47;2,87
400;50;-10;131,24;3,05
400;50;-7;126,22;3,17
400;50;-2;117,71;3,4
400;50;2;110,76;3,61
400;50;7;101,88;3,93
400;50;12;92,74;4,31
400;50;15;87,13;4,59
400;50;20;77,49;5,16
400;55;-20;155,49;2,57
400;55;-15;147,55;2,71
400;55;-10;139,47;2,87
400;55;-7;134,55;2,97
400;55;-2;126,22;3,17
400;55;2;119,43;3,35
400;55;7;110,76;3,61
400;55;12;101,88;3,93
400;55;15;96,43;4,15
400;55;20;87,13;4,59
500;30;-20;142,82;3,5
500;30;-15;131,83;3,79
500;30;-10;120,54;4,15
500;30;-7;113,61;4,4
500;30;-2;101,74;4,91
500;30;2;91,92;5,44
500;30;7;79,15;6,32
500;30;12;65,7;7,61
500;30;15;57,2;8,74
500;30;20;42,03;11,9
500;35;-20;153,55;3,26
500;35;-15;142,82;3,5
500;35;-10;131,83;3,79
