Hour;Set_T;Temp;SFH15_kWh;SFH45_kWh;SFH100_kWh
138;20;-3,1;1764,29;3563,4;9962,2
139;20;-3,6;1806,75;3419,01;8633,43
140;20;-3,9;1846,91;2823,19;4428,33
141;20;-4,1;1886,58;3894,72;6013,27
142;20;-4,6;1925,16;4287,94;13594,5
143;20;-5;1963,54;4414,39;5028,62
144;20;-6,2;2003,13;4542,18;13282,1
145;20;-6,6;2042,28;4618,98;13306,1
146;20;-6,7;2080,51;4688,22;10136,2
147;20;-5,9;2117,26;4441,51;10366,3
148;20;-5,9;2153,07;3964;5325,99
149;20;-6,2;2188,14;4074,53;5667,45
150;20;-6,6;2221,31;4233,79;14180,8
151;20;-7,2;2253,27;4365,67;14410
152;20;-6;2283,83;3846,37;5136,5
153;20;-5,1;2308,9;3245,82;4236,15
154;20;-4,4;2333,18;3811,46;7519,11
155;20;-3,6;2339,58;2719,23;11898,1
156;20;-2,6;2364,03;2616,04;5157,31
157;20;-2,2;1749,52;2512,35;5359,83
158;20;-1,7;1701,68;2414,44;5404,76
159;20;-1,2;1656,81;3493,56;5414,61
160;20;-1,4;1621,71;3281,54;9261,82
161;20;-1,9;1589,21;4202,79;6138,9
162;20;-1,9;1557,43;3729,5;5307,62
163;20;-2,1;1524,43;3458,76;4547,99
164;20;-1,8;1492,7;3648,67;8860,62
165;20;-1,6;1462,16;3900,83;7127,21
166;20;-1,4;1432,04;2940,54;4616,48
167;20;-1,6;1403,43;2954,44;6772,99
168;20;-1,6;1376,99;3944,59;4148,35
169;20;-1,7;1907,02;2827,28;7423,85
170;20;-1,9;1951,18;3998,7;5970
171;20;-1,9;1988,64;3581,28;12378,8
172;20;-2;2025,24;3410,57;4314,26
173;20;-2;2060,92;3560,15;9619,06
174;20;-2,1;2094,53;3318,89;5239,39
175;20;-1,7;2126,31;3047,58;4023,11
176;20;-1,4;2157,21;3702,52;12345,3
177;20;-0,9;1590,2;3194,52;8948,88
178;20;-0,1;1551,56;2804,12;8827,54
179;20;1,5;1498,91;2266,81;6194,98
180;20;3,5;1464,92;2180,8;2585,65
181;20;3,7;1417,45;2091,01;6330,5
182;20;3,4;1375,5;2007,98;3106,41
183;20;3,6;1344,1;1936,76;5043,99
184;20;3,6;1316,45;1872,4;8371,76
185;20;3,1;1290,66;1812,43;11594,7
186;20;2,7;1265,58;2193,35;7930,45
187;20;2,4;1239,2;2348;3105,68
188;20;0,9;1214,85;2846,81;3284,9
189;20;-0,5;1192,33;3433,37;12165,9
190;20;-3,3;1171,64;3824,65;4473,88
191;20;-3,7;1152,2;3899,9;7558,34
192;20;-4,2;1134,82;4036,64;5064,82
193;20;-3,9;1118,01;4144,61;4851,76
194;20;-1,3;1100,23;4111,01;12836,7
195;20;-1,3;1082,94;3918,65;6017,18
196;20;-0,7;1065,81;3472,06;4159,19
197;20;-1,7;1528,07;3466,06;9367,3
198;20;-1,3;1615,54;2750,88;5194,96
199;20;-1,6;1658,72;2575,94;4085,37
200;20;-0,7;1700,73;3561,66;8705,38
201;20;0,1;1738,68;2603,27;8328,96
202;20;0,2;1777,2;3955,18;8996,65
203;20;0,9;1234,78;2247,55;3041,3
204;20;1,4;1207,82;2452,33;3347,68
205;20;1,3;1182,57;2593,44;3706,39
206;20;1,2;1159,27;2214,08;3776,04
207;20;1,1;1136,73;3154,15;3790,93
208;20;0,4;1683,12;2545,74;8708,14
209;20;0,2;1725,99;3713,29;7212,32
210;20;-0,1;1767,67;2867,71;5099,15
211;20;-0,6;1806,28;3145,74;4387,7
212;20;-1,3;1844,83;3866,48;9086,23
213;20;-1,8;1883,11;3150,52;7278,75
214;20;-1,9;1920,08;3346,04;4644,44
215;20;-2;1956,69;3809,7;8957,3
216;20;-1,8;1993,68;3465,45;5986,06
217;20;-2,1;2030,21;3441,81;9380,84
218;20;-1,9;2065,7;3934,39;6158,62
219;20;-1,6;2100,1;2794,62;4261,56
220;20;-2,1;2133,93;3080,13;7448,31
221;20;-2,1;2166,89;3875,76;4340,41
222;20;-2,1;2197,75;2845,31;9470,67
223;20;-1,4;2226,62;3014,83;5821,39
224;20;-1,8;2255,47;3688,25;4125,64
225;20;-1,6;1698,11;2978,7;8714,65
226;20;-1,2;1652,6;3599,48;9071,32
227;20;-0,9;1612,88;2808,23;8734,54
228;20;-0,4;1572,27;2299,35;11677,8
229;20;-0,3;1536,34;3001,76;6765,15
230;20;-0,2;1502,25;2623,12;5014,24
231;20;0;1469,82;2643,84;4371,76
232;20;-0,3;1440,26;3810,71;9083
233;20;-0,8;1412,81;4133,01;7278,34
234;20;-1,7;1386,42;3743,35;4311,38
235;20;-2,7;1898,01;3651,56;9534,08
236;20;-2,4;1950,94;4047,48;5225,06
237;20;-2,2;1952,66;2964,46;9226,45
238;20;-2,4;1975,35;3622,13;7305,13
239;20;-3;2040,41;3314,32;4316,94
240;20;-3,3;2076,27;3867,03;5280,32
241;20;-3,4;2111,56;4230,08;10028,3
242;20;-2,7;2145,5;4309,33;4922,92
243;20;-2,5;2178,42;3687,51;4466,02
244;20;-2,8;2210,68;3667,47;7762,46
245;20;-2,8;2242,09;3260,68;9251,94
246;20;-2,7;2271,35;3837,06;6005,96
247;20;-2,8;2299,16;2903,46;12386,7
248;20;-2,3;2324,96;2641,83;8763,41
249;20;-0,5;1720,85;2534,91;8340,19
250;20;1,2;1681,63;2881,8;8258,4
251;20;1,9;1640,44;2339,87;3694,86
252;20;2,5;1594,65;2244,3;2126,4
253;20;2,4;1556,19;2160,47;2891,39
254;20;2,2;1520,4;2734,01;3236,79
255;20;2,2;1486,31;2396,96;3511,08
256;20;2,3;1455,3;2417,53;3567,43
257;20;2,3;1425,58;2452,33;3578,78
258;20;2,2;1396,54;3305,88;3756,34
259;20;1,6;1366,48;2610,35;4023,46
260;20;1,9;1337,56;2580,06;4492,6
261;20;2,1;1309,74;2222,89;5305,22
262;20;2,3;1282,24;2905,52;8323,94
263;20;1,8;1256,32;2114,02;8578,34
264;20;1,3;1232,72;3042,11;6802,29
265;20;1,2;1210,13;3550,7;5624,46
266;20;1,3;1188,16;3338,05;4862,76
267;20;1,2;1166,88;2703,82;4708,73
268;20;1,9;1714,6;3312,89;4232,81
269;20;1,5;1755,6;2995,69;4177,84
270;20;1,6;1794,35;2645,95;4164,85
271;20;2,2;1303,49;2149,99;5108,31
272;20;3,1;1322,63;3185,41;8275,88
273;20;3,6;1219,99;3125,69;2913,76
274;20;4,1;1192,02;1942,69;4348,8
275;20;4,9;1163,75;1877,11;2810,34
276;20;5,6;1136,14;1806,56;1958,38
277;20;6,3;1109,47;1738,9;9975,92
278;20;5,8;1085,09;1677,88;5988,36
279;20;5,3;1064,26;2401,56;2780,3
280;20;4,7;1045,29;2529,6;3518,01
281;20;5;1026,45;2673,4;6063,37
282;20;4,9;1007,91;1901,76;2581,83
283;20;4,5;988;2338,31;3639,01
284;20;4,7;968,918;1927,95;7140,72
285;20;5;950,507;2760;3263,37
286;20;5,5;931,968;1645,41;6951,7
287;20;5,6;914,318;2307,12;3451,16
288;20;6,6;897,802;2455,44;2154,28
289;20;6,7;881,926;2450,99;3872,19
290;20;5,5;867,121;1794,6;11010,2
291;20;4,7;1394,08;3195,51;2922,82
292;20;1,8;1441,61;3033,83;3127,97
293;20;1,5;1488,34;2827,28;8182,79
294;20;0,6;1533,53;3356,26;8968,37
295;20;0;1577,49;2490,83;6877,58
296;20;0,7;1620,39;2906,98;6674,3
297;20;0,7;1146,12;1889,62;2795,18
298;20;1,8;1091,79;2428,61;4668,81
299;20;1,7;1067,37;2092,33;8066,76
300;20;1,8;1042,48;1850,07;2764,22
301;20;1;1017;2383,79;3344,13
302;20;2,3;996,275;2324,81;4366,69
303;20;2,2;978,533;3243,63;4686,61
304;20;0,1;964,271;3689,64;3881,92
305;20;0,2;950,32;3676,09;8572,15
306;20;0,3;936,406;3358,6;8926
307;20;1;1099,66;2186,42;11720,9
308;20;0;1462,08;3470,66;6878,63
309;20;-1;1508,32;2943,43;4572,86
310;20;-0,8;1553,04;2433,97;4003,65
311;20;-0,5;1597,12;3815,3;8756,26
312;20;-0,3;1641,46;2753,02;7221,66
313;20;0;1684,93;3443,83;5100,49
314;20;-0,2;1727,56;3260,71;4141,84
315;20;-0,4;1769,35;3984,07;12763,2
316;20;0,4;1809,68;2884,07;9025,64
317;20;-0,2;1849,44;2925,58;5136,49
318;20;-0,4;1887,19;3491,68;4147,31
319;20;-0,2;1923,21;2371,78;3689,78
320;20;-0,4;1958,6;3269,93;8526,17
321;20;0,6;1987,15;2290,42;3513,84
322;20;0,5;1504,15;2236,91;3498,39
323;20;1,1;1422,97;2094,55;2777,47
324;20;2,1;1384,29;2013,67;5719,07
325;20;2,2;1344,25;1934,95;2611,87
326;20;2,2;1306,39;1861,21;7595,49
327;20;0,5;1274,53;1798,31;8421,76
