,Qs,HeatStockTemperature,DHWStockTemperature,ElectricConsumption,SolarPVProduction
143,21.786,40.0,55.8,0.811,0.0
144,22.345,40.0,55.6,0.811,0.0
145,22.649,40.0,55.5,0.811,0.0
146,23.006,40.0,55.4,0.811,0.0
147,23.345,40.0,55.2,0.811,0.0
148,23.494,40.0,55.1,0.811,0.0
149,23.773,40.0,53.0,0.811,0.0
150,19.573,40.0,70.0,6.492,0.0
151,20.96,40.0,65.1,5.564,0.0
152,23.779,40.0,62.9,2.133,0.0
153,16.586,40.0,62.0,1.623,0.0
154,12.626,40.0,61.1,1.623,0.0
155,6.672,40.0,59.7,4.382,0.0
156,0.0,18.0,57.9,9.088,0.0
157,4.723,40.0,56.6,4.034,0.0
158,7.369,40.0,55.8,1.623,0.0
159,9.138,40.0,54.9,1.623,0.0
160,14.668,40.0,53.7,4.382,0.0
161,10.982,40.0,52.1,9.274,0.0
162,13.176,40.0,50.1,7.233,0.0
163,14.221,40.0,70.0,6.399,0.0
164,15.396,40.0,66.3,5.564,0.0
165,14.23,40.0,63.9,6.955,0.0
166,14.638,40.0,61.8,6.955,0.0
167,20.363,40.0,61.6,0.811,0.0
168,20.816,40.0,61.5,0.811,0.0
169,21.308,40.0,61.3,0.811,0.0
170,21.792,40.0,61.2,0.811,0.0
171,22.116,40.0,61.0,0.811,0.0
172,22.404,40.0,60.8,0.811,0.0
173,22.609,40.0,58.5,0.811,0.0
174,18.394,40.0,54.7,6.492,0.0
175,19.97,40.0,51.0,5.564,0.0
176,23.126,40.0,70.0,2.133,0.0
177,22.3,40.0,69.0,1.623,0.0
178,21.255,40.0,67.9,1.623,0.0
179,17.037,40.0,66.4,4.382,0.0
180,11.357,40.0,64.4,9.088,0.0
181,8.468,40.0,63.0,4.034,0.0
182,12.383,40.0,62.0,1.623,0.0
183,15.771,40.0,61.0,1.623,0.0
184,17.058,40.0,59.6,4.382,0.0
185,14.287,40.0,57.9,9.274,0.0
186,16.387,40.0,55.6,7.233,0.0
187,17.58,40.0,52.4,6.399,0.0
188,18.634,40.0,70.0,5.564,0.0
189,17.207,40.0,67.5,6.955,0.0
190,17.52,40.0,65.2,6.955,0.0
191,23.04,40.0,65.1,0.811,0.0
192,23.407,40.0,64.9,0.811,0.0
193,23.707,40.0,64.8,0.811,0.0
194,23.98,40.0,64.6,0.811,0.0
195,24.121,40.0,64.4,0.811,0.0
196,25.001,40.0,64.3,0.811,0.0
197,24.545,40.0,61.8,0.811,0.0
198,20.259,40.0,57.8,6.492,0.0
199,21.53,40.0,53.8,5.564,0.0
200,24.566,40.0,52.0,2.133,0.0
201,23.871,40.0,51.3,1.623,0.0
202,21.778,40.0,50.5,1.623,0.0
203,19.437,40.0,70.0,4.382,0.0
204,12.213,40.0,67.9,9.088,0.0
205,9.791,40.0,66.3,4.034,0.0
206,12.645,40.0,65.3,1.623,0.0
207,16.386,40.0,64.3,1.623,0.0
208,18.276,40.0,62.8,4.382,0.0
209,15.155,40.0,60.9,9.274,0.0
210,16.995,40.0,58.6,7.233,0.0
211,17.924,40.0,55.2,6.399,0.0
212,18.907,40.0,52.3,5.564,0.0
213,17.556,40.0,50.5,6.955,0.0
214,17.844,40.0,70.0,6.955,0.0
215,23.134,40.0,69.8,0.811,0.0
216,23.399,40.0,69.6,0.811,0.0
217,23.568,40.0,69.5,0.811,0.0
218,23.792,40.0,69.3,0.811,0.0
219,23.967,40.0,69.1,0.811,0.0
220,24.008,40.0,68.9,0.811,0.0
221,24.002,40.0,66.2,0.811,0.0
222,19.681,40.0,61.9,6.492,0.0
223,20.971,40.0,57.6,5.564,0.0
224,23.919,40.0,55.7,2.133,0.0
225,23.195,40.0,54.9,1.623,0.0
226,22.703,40.0,54.1,1.623,0.0
